Mwaghavul,pl,PoS,IPA,Gloss,Examples
taap,,tááp,bush duiker,Sylvicapra grimmia,
tàapòo,,tààpɔɔ̀,to talk too much,,
tàapòo,,tààpɔɔ̀,talking too much; garrulity,,
tàapòo,,tààpɔɔ̀,to chant incantations,,
tàapòo,,tààpɔɔ̀,incantation; chant,also rughumpoo,
taat,,tāāt,to shake,Mat ni taat been yen ni akuɗang ra kɨ ɗoo yen ni The woman shook the medicine bottle before turning the medicine,
taat káa,,tāāt káá,to shake the head to indicate disagreement,,
taghal,,tāɣāl,to chew; to masticate,,
taghamsɨ,,tāɣāms�̀,this year,,
taghas,,tàɣàs,bad smell; stink; pong; odour,lée ɗiis�̀ ni ɗu taghas nzutur this article of clothing smells of bedbugs,
taji,,táʤì,do not,"taji a fet shii ngan kas, mpeeɗi ba ɗyen ngan nlang mat kas lit. Don’t you sweep leg me not, because not want I miss wife not i.e. This refers to a belief that if a broom sweeps across your feet you may not be lucky enough to get married. cf. ’jì",
tak,,ták,to pour out liquid from a jar,,
tàk mbwagham,,tàk mbwàɣàm,local soup,cf. Hausa  turbunuwa,
tal,tɨlang,tál,to pluck fruit,,
tal,,tāl,to ask a question; to query,also nang,
tal,,tāl,to be hot,,
Tal,,tàl,Tal people,,
tàl,,tàl,question,also nàng,
tàl,,tàl,heat,,
tal cii mwak,,tāl cíí mwák,to be too hot to sip; to be difficult to deal with (situation),SVC. Lit. ‘be-hot be-difficult to-sip’ Wáar ni tal cii mwak The cereal beverage is too hot to drink,
tal dung,,tāl dúŋ,to ask from the nyem dung,(owner of the river),
tal-tal,,tāl tāl,describes s.t. very hot,,
tam,,tām,"song, especially when the type of song is specified","cf. tam máar, tam mos, tam njii, tam pwaghal, tam tukas, tam yang, tam yangkas",
tam,,tām,to simmer,,
tam máar,,tām máár,song sung while working on the farm,,
tam mòs,,tām mɔ̀s,beer-drinking song,,
tam njii,,tām nʤíí,song sounded by spirits,Women and children are intended to think the spirits are singing. Big and small horns are also played,
tam pwaghal,,tām pwàɣàl,victory song after a battle or hunt,,
tam tukas,,tām tùkàs,song sung while threshing millet,,
tam yang,,tām yáŋ,song sung,while demarcating ridges before final cultivation,
tam yangkas,,tām yàŋkàs,song sung,while hoeing new ridges for millet cultivation,
tamtuk,,tàmtùk,tree sp,,
tan,,tàn,play,,
tang,,tāŋ,to sprout,,
tàng,,tàŋ,to read,,
tàng,,tàŋ,to count,,
tàng,,tàŋ,to search; to seek; to look for,,
tàng bar,,tàŋ bár,to seek survival; to seek salvation,,
tàng bar,,tàŋ bár,act of seeking survival or salvation,,
tang ngon,,tàŋ ngɔ̄ n,practice of gleaning grain left on stalks; what is gathered in this manner,"cf. kwàt tang ngon, tuɓwoor, nkɨshang",
tàng ràn,,tàŋ ràn,to read,,
tàng ràn,,tàŋ ràn,reading,,
tàng shikáa,,tàŋ ʃìkáá,to read from memory,"cf. sát shikáa, kám shikáa",
tangnaan,,tàŋnāān,to exhibit deviant tendencies when working with others,also tangsan,
tangnaan,,tàŋnāān,deviant tendency exhibited when working with others,also tangsan,
tangpee,,tàŋpɛɛ̄,to search for an opportunity,,
tangsan,,tàŋsán,to exhibit deviant tendency when working with others,also tangnaan,
tangsan,,tàŋsán,deviant tendency exhibited when working with others,also tangnaan,
tangshwan,,tàŋʃwàn,to be troublesome,,
tangshwan,,tàŋʃwàn,troublesomeness,,
tap,,táp,to be meticulous; to take time to prepare; to be careful; to watch out for; to indulge in; to protect,,
tap ɓit nfung k�́rám,,táp ɓít nfùŋ k�́rám,to attend to a commitment at the break of dawn,lit. ‘watch for daybreak through an opening in the room’. Also naa ɓit nfung k�́rám,
tap kɨ wàar,,táp k�́ wààr,to adhere to the tenets of the law,,
tap kɨ wàar,,táp k�́ wààr,adherence to the tenets of the law,,
ta-pas,,tā pās,period in the rainy season when rain is incessant,from July to September. also pas,
taplee,,táplɛɛ̄,to be careful,,
tappee,,táppɛɛ̄,to oversee; to keep watch over a place,,
tappee,,táppɛɛ̄,keeping watch over a place,,
tapsheng,,tàpʃɛ̄ ŋ,tree sp,,
tar,,tár,month; moon,,
tar,,tár,to be mad; to be lunatic; to be insane,,
tar,,tár,madness; lunacy; insanity,,
tàr,,tàr,grass sp,,
tàr ɓum,,tàr ɓúm,grass sp,,
tárásh,,táráʃ,describes spending the whole day on an activity,also shwéng. mu wet tárásh we spent the whole day (on an activity),
tarkom,,tárkɔ́m,goosegrass,Eleusine indica,
Tar-Pas,,tār pās,August,,
tarpee,,tārpɛɛ̄,season,,
tash,,tàʃ,to scatter; to disorganise,,
tat,,tát,to complete work; to punch the air with the foot; to snap fingers,,
tat sar,,tát sár,to give a typical hand shake to close friends; to snap one’s fingers,,
tat shuu,,tát ʃūū,to spin cotton,to produce thread,
tawai,,táwáí,"to revolt; to protest, associated with mad dogs",,
tee,yilang,tɛɛ̄,to tear; to rip,,
teel,,tɛɛ́ ́l,conceited; self-important,,
teer,yem,tɛɛ̄ r,to spend the night,,
teer,,tɛɛ̄ r,late in the night,,
tèer,,tɛɛ̀ ̀r,day of twenty-four hours,,
teer lee,,334 tɛɛ̄ r lɛɛ̄,a few days later,Teer lee ɓe mat ni mang aak A few days later the woman became pregnant,
teghel,,tɛ́ɣɛ́l,insatiable hunger,,
ten,,tɛ̀n,already,,
ten,,tɛ̀n,to iron clothes,,
ten,"tɨreng, vwap","tɛ̀n, t�̄rɛ̄ ŋ, vwáp",to press; to tread on; to trample,,
ten,tɨreng,"tɛ̀n, t�̄rɛ̄ ŋ",to lock door,because you had to press the lock,
tén,,tɛ́n,mahogany tree,Khaya senegalensis H. maɗaacii,
ten aas,,tɛ̀n āās,ritual,"also tenpee. performed by the Kum priest and his aides to secure the boundaries of the community so that calamities cannot gain access to the community. The Kum priest and his aides walk round the boundaries with fonio flour, which they drop at particular points. Similar to ʻbeating the bounds’ in English tradition",
ten aas,,tɛ̀n āās,to perform the ritual called ten aas,also tenpee,
ten làa ngagham,,tɛ̀n làà ngàɣàm,sickness of children,see piin làa ngagham,
ten ndol,,tɛ̀n ndɔ́l,"to make the ankle rattle produce noise by striking the foot on the ground, especially when dancing",,
ten ndol,,tɛ̀n ndɔ́l,"making the ankle rattle produce noise by striking the foot on the ground, especially when dancing; serving time",,
ten ndol,,tɛ̀n ndɔ́l,to serve time; to go to jail; to be imprisoned,,
ten ndol,,tɛ̀n ndɔ́l,serving jail term; imprisonment; incarceration,,
ten poolu,tɨreng poolu,"tɛ̀n pɔɔ̀ ̀lú, t�̄rɛ̄ ŋ-","to lock door, car",Daa k�̀ ten poolu ni Father has locked the door. cf. lop poolu,
ten sát,,tɛ̀n sát,already stated; already mentioned or said,,
teng,,tɛ́ŋ,rope; twine; string; cord,,
Teng Kwàt,,tɛ̄ ŋ kwàt,Hunting festival of Jipaal people,,
Teng Lwaa,,tɛ̄ ŋ lwāā,Hunting festival of Cakfem people,,
teng ngwaghar,,tɛ̄ ŋ ngwáɣár,rope,Mwaghavul well- known,
tengreghet,,tɛ́ŋrɛ́ɣɛ́t,describes being the only person remaining or doing s.t,"tengreghet pu shiit, so nse ɗang pòo kaam lit. ‘only one grinding, to eat then mouth widens’ i.e. you are alone when doing the work, but when you eat many mouths are agape [ready to eat]",
tengreghet,,tɛ́ŋrɛ́ɣɛ́t,"only, alone (person)",a ra a làa ni tengreghet she is the only child,
tenpee,,tɛ̀npɛɛ̄,ritual performed by the Kum priest and his aides to secure the boundaries of the community so that calamities cannot gain access to the community,"The Kum priest and his aides walk round the boundaries with fonio flour, which they drop at particular points. Similar to ʻbeating the bounds’ in English tradition. Also ten aas",
tenpee,,tɛ̀npɛɛ̄,"to perform the ritual of tenpee, to shut calamities off the community",Also ten aas,
tenyil yaayoghon,,tɛ̀nyíl yààyɔ̀ɣɔ̀n,wagtail,Motacilla flava,
tep,,tɛ̄ p,to fold,,
tep,tɨrep,"tɛ̄ p, t�̄rɛ̄ p",to break; to snap,"lyoon, roghop are second plurals",
tep kaa,,tɛ̄ p káá,to plait; to braid a woman’s hair,,
tep kaa,,tɛ̄ p káá,act of plaiting or braiding a woman’s hair,,
tep nkɨrang,,tɛ̄ p nk�́ráŋ,sarcastic statement,,
tep nkɨrang,,tɛ̄ p nk�́ráŋ,to make a sarcastic statement,,
tep ntóók,,tɛ̄ p ntɔɔ́ ́k,cerebrospinal meningitis,"It begins with a heavy fever, usual in hot, overcrowded conditions. Kills within a week or two if not treated. H. sankarau",
teppoo,,tɛ̄ ppɔɔ̀,parable; figure of speech,,
teppoo,,tɛ̄ ppɔɔ̀,to speak figuratively,,
,,,remark about s.o. or s.t,,
tetpee,,tɛ́tpɛɛ̄,to make a derogatory remark about s.o. or s.t,,
tetpee,,tɛ́tpɛɛ̄,act of making a derogatory remark about s.o. or s.t,,
tetpoo,,tɛ́tpɔɔ̀,metaphor,,
tetpoo,,tɛ́tpɔɔ̀,to speak metaphorically,,
tiding,,tídìŋ,deaf and dumb,,
Tidiu,,tìdìù,hunting expedition of Kombun community,"Occasions to display good horsemanship, bravery",
tidiu,,tìdìù,soil that is a mixture of loam and clay,,
tiip,,tííp,"shock; trauma; excessive greed or desire exhibited when one gets what one has been longing for, and takes too much of it",,
tiis,,tììs,"shrub, tree sp",Piliostigma reticulatum & P. thonningii. The bark is used to bind bundles of firewood,
tiis,,tììs,Senegal coucal,lit. ‘man of tiis [tree sp.]’ Centropus senegalensis. Also daatiis. H. rágón mázáá,
tiit,,tīīt,to scatter; to disseminate; to diffuse; to spread,,
tiit,,tīīt,to drizzle rain,,
tiit,,tīīt,to scatter animals while grazing them,,
tìit,,tììt,traditional clothing worn by girls,,
til,,tīl,ridge,,
til maar,,tīl máár,ridge,,
tim,,tīm,to slow down; to lack enthusiasm; to be apathetic; to be reluctant; to be late,,
tim,,tìm,area of land with stones from volcanic eruptions,,
ting,,tīŋ,"compulsory, a must",,
ting,,tíŋ,"tree, shrub generic",,
ting riin,,tīŋ rīīn,shade tree of any kind,Usually the ting ting. Ba tulu furu kɨ mee ting riin kas kyap Their house has no shade tree at all,
ting tìng,,tíŋ tìŋ,species of tree traditionally planted at the forecourt of a typical Mwaghavul house,Could be planted elsewhere. Ghɨɨ mo kɨ se kom ting tìng Goats eat the leaves of ting tìng. cf. ting toghol,
ting toghol,,tīŋ tɔ́ɣɔ́l,tree traditionally planted at the forecourt of a typical Mwaghavul house,"Could be any species of tree, but usually the ting tìng. In the past, this tree was planted at the site of a new house before buildings could be erected there. Ting toghol a ting wàar The forecourt tree is a sacred tree. cf. ting tìng",
ting tyoon,,tíŋ tyɔɔ́ ́n,aerial yam; ‘up yam’,"Dioscorea bulbifera. This plant was of great significance to the Mwaghavul community. It was used in determining when the rains would set in. If spring is not approaching it would not sprout. They would commence clearing their farms. This plant does respond to the amount of water poured on it. There are two types, one of which grows in the bush and can be very toxic, the other cultivated on the farms. H. doyan sama",
tip,,tìp,jute bag for keeping foodstuff,A good example could hold water for days without leaking,
tip,,tìp,billion,,
tísh,,tíʃ,to drizzle (rain),,
tìsh,,tìʃ,nest; soft bed for a newly born child and the mother for the first seven days of childbirth,,
tish puk,,tìʃ pùk tíʃbwààr,spongy remnant of draw soup,,
tishbwaar,,tíʃbwààr,describes lying on one’s back,also tɨbwaar,
tɨbaa,,t�́bāā,tobacco; cigarette,"< H. Also tɨmaa, tumaa, tɨbaa, tubaa",
tɨbarna,,t�̀bàrná,mat,,
tɨɓen,,t�̀ɓɛ̀n,wooden handle of a hoe,,
tɨbɨlak,,t�́b�̀lák,lizard,sar tɨbɨlak yaa nduu ‘hand of lizard caught skink’ said when s.o. is mistakenly killed or hurt instead of the one earlier intended,
tɨbwaar,,t�́bwààr,describes lying on one’s back,also tishbwaar,
tɨdok,,t�́dɔ́k,recently; a few days ago,,
tɨdok sɨ̀,,t�́dɔ́k s�̀,recently; a few days ago,,
tɨfil,,t�́fíl,foam; air bubbles; froth; lather; suds; scum,,
tɨghɨr,,t�ɣ� ̄r t�ɣ�̀ ̀r,anthill; termite mound,,
tɨ̀ghɨ̀r,,t�ɣ� ̄r t�ɣ�̀ ̀r,to focus on an object,,
tɨghɨr ndɨpoop,,t�ɣ� ̄r nd�̀pɔɔ́ ́p,anthill; tall termite mound of Macrotermes,,
tɨghɨr nfwash,,t�ɣ� ̄r nfwàsh,anthill; termite mound type,,
tɨ̀ghɨ̀r yit,,t�ɣ�̀ ̀r yīt,to focus one’s eye,,
tɨghɨrɨng,,t�ɣ� ̄r�̀ŋ,local tripod for cooking,,
tɨghɨs,,t�ɣ� ̄s,"main party to a matter; most important person, place or thing responsible for s.t",,
tɨka,,t�́ká t�̄lāŋ,skin bangle worn by old men to pick fruits,cf. kɨm pl. of tal,
tɨlang,,t�̄lāŋ,to pick fruits,pl. of tal,
tɨlat,,t�́lát,to smooth mud or clay,,
tɨ́leng,,t�́lɛ̀ŋ,front; before; ahead,,
tɨ́leng,,t�̀lɛ̄ ŋ,outside; exterior,,
tɨ̀lèng,,t�̀lɛ̀ŋ,long time before s.t. happens or is done,ba mu man t�̀lèng jì fɨri ni kas we do not know the time it will take before he comes,
tɨles,,t�́lɛ́s,ear pain,"Also mùut kom. The ears are painful, and emit pus. H. ciwon kunne",
tɨles,,t�́lɛ́s,narrowly,ɗee ɗi a tɨles ku an mùut ɗi I escaped death narrowly,
tɨlong,,t�̀lɔ̀ŋ,penis sheath,Made from raffia leaves to cover the penis and tied round the waist. The Mwaghavul used it only when offering sacrifices to the njii. Sometimes the horns of smaller animals were used,
tɨmaa,,t�́māā,tobacco; cigarette,"< H. Also tumaa, tɨbaa, tubaa",
tɨnen,,t�̀nɛ̀n,liver,,
tɨreng,,t�̄rɛ̄ ŋ,to rape (pl.),cf. sg. vwap,
tɨreng,,t�̄rɛ̄ ŋ,to trample (pl.),cf. sg. vwap,
tɨris wus,,t�̀rìs wūs,to reduce soot from ngyam taper,,
tɨsek,,t�́sɛ́k,chain; handcuffs,"Laakam ni yàa wat ni so kɨni shi tɨsek The police officer led the thief away in chains. cf. tɨzek, angkwa",
tɨtik,,t�́tík,quietly; silently,"cf. mpɨɗok, mpuɗok",
tɨtɨra,,t�̀t�́rá,millet grains and heads of millet that break off from a millet bundle,,
tɨvuk,,t�̀vúk,waste from jute fibre,also tuvuk,
tɨzek,,t�́zɛ́k,chain; handcuffs,"Laakam ni yàa wat ni so kɨni shi tɨzek The police officer led the thief away in chains. cf. tɨsek, angkwa",
tɨzik,,t�́z�̌k,house bat,Scotophilus spp,
tɨzɨk,,t�́z�̌k,sniffle done when crying which often prolongs one’s cry,cf. saa tɨzɨk,
toghol,,tɔ́ɣɔ́l,place outside the compound where people sit; forecourt,The main fireplace for elders was properly protected by well arranged stones to shield them from wind. Important decisions were taken here and erring members were reprimanded. Women did not stay here at all,
toghom,,tɔ̄ ɣɔ̄ m,right in front of someone,,
tòghòm,,tɔ̀ɣɔ̀m,guinea-fowl,Numida meleagris,
tòghòm,,tɔ̀ɣɔ̀m,blood,Also a symbol for emotions. Thus n�̀gh�̀n tòghòm lèe wan lit. ‘much blood cut me’ implies I am frightened,
toghon,,tɔ́ɣɔ́n,to be weighty; to be heavy; to be ponderous,,
toghon,,tɔ́ɣɔ́n,weight; heaviness,,
toghon- toghon,,tɔ́ɣɔ́n tɔ́ɣɔ́n,describes s.t. very heavy,,
toghorii,,tɔ̀ɣɔ̀ríí,baobab; monkey-bread,Adansonia digitata,
toghos,,tɔ̄ ɣɔ̄ s,grass sp,,
toghot,,tɔ̀ɣɔ̀t,to remove forcefully; to uproot,,
toghot kyal,,tɔ̀ɣɔ̀t kyál,to remove grass from a piece of land preparatory to cultivation,cf. tu kyal,
toghot kyal,,tɔ̀ɣɔ̀t kyál,removing grass from a piece of land preparatory to cultivation,cf. tu kyal,
tok,,tɔ̀k,to greet,Used in tok kɨ + object Gwar ni tok kɨ ra The man greeted her,
tok,,tɔ̀k,to perform a traditional ritual,,
tok,,tɔ̀k,to gossip s.o,,
tok,,tɔ̀k,to adjudicate,,
tok kum,,tɔ̀k kùm,to perform traditional religious rites,,
tokdun,,tɔ̀k dùn,to stammer; to stutter,,
tokɗyeel,,tɔ̀kɗyɛɛ́ ́l,"to deliver a judgement, verdict",,
toklek,,tɔ̀klɛ̀k,to rebuke sternly,,
toklong,,tɔ̀klɔ̄ ŋ,to despise s.o,,
tokpee,,tɔ̀kpɛɛ̄,to gossip about others,,
tokpee,,tɔ̀kpɛɛ̄,gossip,,
tokshik,,tɔ̀kʃìk,to greet,,
tokshik,,tɔ̀kʃìk,greeting,Tokshik a mɨse ɗiiɗes mu nyem Mwaghavul mo Greeting is a great custom of the Mwaghavul people. cf. ngu tokshik,
tong,,tɔ̄ ŋ,to sit down; stay; get established; reside; have become,Ri tong a ngulong He became a rich man,
tong,,tɔ̄ ŋ,to take a long time,,
tòng,,tɔ̀ŋ,way of life; way things are,,
tòng,,tɔ̀ŋ,residing in a place; co- existence,,
tong a tòng,,tɔ̄ ŋ ā tɔ̀ŋ,to do s.t. often,Gwar ni tong a tòng nas mat fɨri The man often beats up his wife. cf. naa a,
tong ashak,,tɔ̄ ŋ āʃàk,Holy Communion; meeting with elders,,
tong ashak,,tɔ̄ ŋ āʃàk,co-existence,,
tong fwan,,tɔ̄ ŋ fwān,to shelter from the rain,,
tong fwan,,tɔ̄ ŋ fwān,sheltering from the rain,,
tong rak,,tɔ̄ ŋ rák,to sit defiantly,Puun fɨri sat nri nne ri so mbong ɓe ri tong rak His father asked him to go to farm but he sat defiantly,
tongɗirem,,tɔ̄ ŋɗ�́rɛ́m,to stay up late at night discussing issues,,
tongɗirem,,tɔ̄ ŋɗ�́rɛ́m,staying up late at night discussing issues,,
tongɗyen,,tɔ̄ ŋɗyɛ̄ n,to be obedient; to be loyal,,
tongɗyen,,tɔ̄ ŋɗyɛ̄ n,obedience; loyalty,,
tongpong,,tɔ̄ ŋpɔ̄ ŋ,to be less severe (illness),,
tongpong,,tɔ̄ ŋpɔ̄ ŋ,improvement in illness; convalescence; recuperation; recovery; remission,,
tongryang,,tɔ̄ ŋryáŋ,to live in peace,,
tongryang,,tɔ̄ ŋryáŋ,peace; peaceful living,,
tongzɨleng,,tɔ́ŋz�̄lɛ̄ ŋ,eye shadow,< H. tozali,
took,,tɔɔ́ ́k,friend; companion; mate,,
took,,tɔɔ́ ́k,neck,,
took maar,,tɔɔ̄ k máár,narrow piece of farmland,,
tu,twa,"tù, twā",to kill; to destroy; to extinguish; to exterminate,,
tu,twa,"tù, twā",to intoxicate s.o. so they cannot stand or walk upright (alcohol),mwos tu làa ni the booy was lying in a drunken stupor,
tu,,tù,to be thirsty,Only in àm tu + object. Àm tu ngukwàt ni The hunter was thirsty; Àm tu an I am thirsty,
tu,,tù,to thresh grains; to pound items in a mortar,,
tu ɗik,,tù ɗīk,to divorce; to dissolve a marriage,divorce was very uncommon in the past,
tu kyal,,tù kyál,clearing of shrubs from a farm before cultivation,cf. toghot kyal,
tu kyal,,tù kyál,to clear shrubs,from a farm before cultivation cf. toghot kyal,
tu pòo,,tù pɔɔ̀,to resolve an issue,by offering a bribe lit. ‘kill mouth’,
tu shii,,tù ʃíí,"to go to a place many times for an issue, especially a fruitless one",,
tu shiit,,tù ʃīīt,to pound grain for food preparation,,
tu shiit,,tù ʃīīt,pounding grain for food preparation,,
tu wus,,tù wūs,to calm a situation,,
tubaa,,túbāā,tobacco; cigarette,"< H. Also tumaa, tɨbaa, tɨmaa",
tubaal,,tùbāāl,to vaccinate; to immunise; to inoculate,also latɨleng,
tubaal,,tùbāāl,vaccination; immunisation; inoculation,also latɨleng,
tuɓook,,"túɓɔɔ̀ ̀k, tááɓɔɔ̀ ̀k",to be mushy (food or soil),also taaɓook,
